# Value|Frequency
1300+AVE|2962
10075+77TH|11096
ST+YORK|23451
HOLLOW+NY|4757
05+AVE|5269
NECK+NY|7995
E+YORK|20350
NY+SAINT|2023
10549+NY|3700
HWY+NY|3427
10549+ST|2932
11040+270|5102
ISLAND+NY|16039
N+SLEEPY|3304
10021+NEW|3129
76TH+NY|18533
11030+300|14462
300+DR|14478
GREAT+NY|7873
300+NY|16143
BROOKLYN+NY|8627
BROOKLYN+ST|2365
11791+SYOSSET|5491
11743+NY|7377
11004+OAKS|2877
AVE+VALLEY|4936
ANDREWS+COVE|2671
11040+AVE|17840
701+NY|2829
11803+NY|5528
11803+RD|5466
11021+GREAT|5497
11021+NY|5515
STE+YORK|3864
11791+TURNPIKE|2263
10549+KISCO|3686
10305+STATEN|10688
FLOOR+NEW|2499
11530+NY|2684
77TH+NY|11674
77TH+ST|11661
W+YORK|3338
ISLAND+STATEN|15637
10591+BROADWAY|3548
11042+AVE|6081
400+NY|4857
400+ST|3310
E+NY|33150
E+ST|31231
KISCO+MAIN|2932
E+NEW|20375
10075+NY|11928
10075+ST|11692
N+NY|6631
COVE+GLEN|5952
JERICHO+TPKE|2139
270+HUNTINGTON|5862
HYDE+NORTH|5405
AVE+FRANKLIN|5446
NY+STATEN|15635
11501+MINEOLA|2067
11542+LN|4153
11542+NY|5155
11542+ST|2585
NY+PL|2230
NY+RD|26529
10075+YORK|11922
NY+ST|46349
COVE+LN|4161
COVE+NY|5962
COVE+ST|2593
HUNTINGTON+NY|8956
KISCO+MOUNT|3647
66TH+HILLS|4877
101+11542|4150
AVE+HYDE|22506
NY+SLEEPY|3821
5051+NEW|4650
LAKEVILLE+NEW|3719
10087+NY|4375
1300+ROANOKE|2817
AVE+CITY|2354
11375+HILLS|6235
BROADWAY+N|4136
400+MAIN|3072
JERICHO+NY|4820
221+SYOSSET|4021
11743+PARK|6128
11042+450|2203
11580+AVE|4888
NY+TURNPIKE|3369
COUNTRY+OLD|5696
10591+N|3465
600+NY|2134
FOREST+NY|7444
FOREST+RD|5087
11580+STREAM|5013
900+VALLEY|4716
NY+SYOSSET|6253
11743+HUNTINGTON|7313
10021+E|2557
NY+S|4516
NY+W|5521
26901+PARK|4130
11020+COMMUNITY|2318
11020+DR|2320
11020+NY|2365
AVE+BROOKLYN|4502
DR+PARK|2613
AVE+HUNTINGTON|6251
27005+76TH|9362
NY+STE|21932
11542+GLEN|5154
10305+ISLAND|10688
11791+JERICHO|4171
11901+1300|2815
11530+CITY|2683
AVE+STE|6892
NORTH+PARK|5472
10065+NEW|3826
11040+HYDE|18575
AVE+GARDEN|2260
COUNTRY+NY|6765
11040+NY|18645
COUNTRY+RD|6758
2+NY|2072
E+MOUNT|2440
200+GREAT|2116
475+SEAVIEW|8066
10591+NY|4156
900+FRANKLIN|4715
10549+400|2761
BLVD+STE|3167
SYOSSET+TURNPIKE|2263
HUNTINGTON+PARK|6133
11501+NY|2067
05+HYDE|5129
475+STATEN|8072
HILLS+NY|7369
HILLS+RD|5131
77TH+NEW|11625
11042+NORTH|5399
HYDE+MARCUS|5026
11706+NY|8798
COMMUNITY+DR|20158
11706+ST|8284
NECK+STE|2787
BLVD+QUEENS|2026
COMMUNITY+NY|20165
10075+NEW|11923
MAIN+MOUNT|2594
11542+COVE|5154
270+HYDE|5161
BLVD+NECK|4278
11004+NY|3234
10087+POBOX|4375
11004+ST|2506
27005+76TH+NEW|9056
11042+AVE+HYDE|4806
HYDE+LAKEVILLE+NEW|3344
11791+JERICHO+NY|3760
10305+475+SEAVIEW|7963
101+NY+ST|2228
NEW+POBOX+YORK|4706
NEW+NY+POBOX|4707
400+KISCO+NY|2575
11040+27005+AVE|9056
400+KISCO+ST|2574
10549+400+MOUNT|2324
E+KISCO+NY|2539
E+KISCO+MOUNT|2290
E+KISCO+ST|2537
475+NY+SEAVIEW|7999
270+76TH+PARK|4892
NY+OLD+RD|5351
11040+76TH+HYDE|17139
27005+AVE+PARK|9057
NEW+ST+YORK|22870
AVE+NY+SEAVIEW|8906
10201+66TH+NY|2258
FLOOR+NEW+YORK|2125
10201+66TH+RD|2258
11040+76TH+NY|17146
11580+NY+STREAM|4574
10591+701+SLEEPY|2304
27005+AVE+NY|9057
11042+PARK+RD|3134
27005+HYDE+NEW|9057
DR+NECK+NY|2628
05+AVE+NEW|4907
11791+NY+SYOSSET|5045
NEW+NY+STE|5725
11040+27005+HYDE|9056
11004+NY+ST|2491
270+AVE+NEW|4947
100+10075+E|9792
BAY+E+SHORE|6370
10201+FOREST+HILLS|2257
BLVD+GREAT+NORTHERN|3701
400+E+NY|2540
10305+475+NY|7969
400+E+ST|2536
05+AVE+NY|5070
MARCUS+NEW+NY|4865
301+MAIN+SHORE|5436
11375+NY+RD|4615
MARCUS+NEW+NORTH|3293
HYDE+NORTH+PARK|5405
270+HUNTINGTON+NY|5513
701+N+NY|2402
888+OLD+RD|3971
100+NY+YORK|10235
11375+66TH+NY|4447
11375+66TH+RD|4441
900+STREAM+VALLEY|4277
11803+COUNTRY+OLD|4837
COMMUNITY+DR+GREAT|2586
66TH+NY+RD|4455
11042+LAKEVILLE+NY|3305
11042+LAKEVILLE+RD|3302
100+77TH+YORK|9895
AVE+HYDE+PARK|21897
1300+AVE+RIVERHEAD|2360
11042+HYDE+NY|9536
05+270+NY|4940
11042+HYDE+RD|3137
MAIN+NY+SHORE|6385
10075+NEW+YORK|11512
10549+MAIN+NY|2742
10549+MAIN+ST|2742
10591+BROADWAY+NY|3150
AVE+ISLAND+SEAVIEW|8893
11580+AVE+FRANKLIN|4345
900+AVE+STREAM|4277
221+SYOSSET+TURNPIKE|2022
76TH+NY+PARK|17211
AVE+FRANKLIN+NY|4995
E+NY+YORK|19935
11530+CITY+GARDEN|2148
26901+NEW+NY|3834
76TH+AVE+NY|17202
NY+SEAVIEW+STATEN|8900
10201+66TH+HILLS|2257
76TH+HYDE+PARK|17209
11042+NY+RD|3573
11542+COVE+GLEN|4698
ANDREWS+COVE+GLEN|2520
AVE+NY+STE|6392
AVE+MARCUS+NEW|4860
10087+POBOX+YORK|4247
11030+COMMUNITY+DR|16777
11030+COMMUNITY+NY|16782
27005+76TH+AVE|9056
AVE+NEW+NORTH|3294
11040+270+HYDE|4895
101+GLEN+LN|3715
101+GLEN+NY|3727
NEW+STE+YORK|3703
26901+76TH+NEW|3834
101+GLEN+ST|2082
11030+DR+NY|16803
10201+FOREST+NY|2257
10201+FOREST+RD|2257
888+COUNTRY+PLAINVIEW|3967
ANDREWS+GLEN+LN|2515
ANDREWS+GLEN+NY|2520
HOLLOW+NY+SLEEPY|3403
05+76TH+NY|4886
10016+NEW+NY|2596
JERICHO+NY+SYOSSET|3761
270+76TH+NY|4906
11791+221+JERICHO|3610
GREAT+NECK+STE|2607
26901+AVE+PARK|3833
BAY+MAIN+NY|6420
100+E+NY|10251
BAY+MAIN+ST|6418
11021+NY+STE|2059
100+E+ST|10217
GREAT+NORTHERN+NY|3710
GREAT+NECK+NORTHERN|3710
AVE+SEAVIEW+STATEN|8893
10591+N+SLEEPY|2903
11901+1300+NY|2385
10065+E+NY|2735
10065+E+ST|2728
26901+HYDE+NEW|3834
77TH+NEW+YORK|11220
11803+OLD+PLAINVIEW|4837
11040+26901+76TH|3834
11580+900+STREAM|4276
HUNTINGTON+NY+PARK|5685
FRANKLIN+STREAM+VALLEY|4348
101+ANDREWS+GLEN|2518
11042+MARCUS+PARK|4741
11375+66TH+HILLS|4446
11706+SHORE+ST|6380
400+KISCO+MOUNT|2325
11020+200+COMMUNITY|2297
888+PLAINVIEW+RD|3969
BROADWAY+HOLLOW+N|2952
10549+400+E|2479
11901+AVE+NY|2600
10549+400+KISCO|2572
10021+ST+YORK|2524
AVE+HUNTINGTON+PARK|5683
11042+AVE+NORTH|3293
27005+NEW+PARK|9057
10591+N+NY|3067
NEW+ST+W|2678
76TH+HYDE+NY|17211
10549+KISCO+NY|3494
10591+HOLLOW+NY|3081
10549+KISCO+ST|2740
AVE+NY+ROANOKE|2550
10305+ISLAND+SEAVIEW|8853
AVE+NY+YORK|7951
E+MAIN+NY|10992
27005+NEW+NY|9057
COUNTRY+NY+RD|6295
E+MAIN+ST|10998
BLVD+GREAT+NY|3714
10549+MAIN+MOUNT|2448
JERICHO+NY+TURNPIKE|2420
66TH+FOREST+HILLS|4451
11021+BLVD+NORTHERN|3665
NY+SHORE+ST|6390
KISCO+NY+ST|2744
AVE+HYDE+NEW|21902
HILLS+NY+RD|4674
11803+NY+OLD|4839
05+NEW+NY|4938
11042+AVE+NY|5774
900+FRANKLIN+STREAM|4275
BAY+SHORE+ST|6389
AVE+NY+PARK|28158
26901+76TH+AVE|3833
LAKEVILLE+NY+RD|3795
MARCUS+NORTH+NY|3293
475+AVE+NY|8007
11030+MANHASSET+NY|17738
27005+76TH+PARK|9056
221+JERICHO+TURNPIKE|2021
101+ANDREWS+COVE|2518
11004+263RD+GLEN|2460
10549+KISCO+MOUNT|3107
270+HYDE+PARK|4960
NY+POBOX+YORK|4706
NORTH+NY+PARK|5471
NY+PARK+RD|3817
11580+900+FRANKLIN|4273
301+BAY+MAIN|5436
66TH+FOREST+NY|4451
11803+888+PLAINVIEW|3969
66TH+FOREST+RD|4444
11706+BAY+SHORE|6875
BAY+MAIN+SHORE|6385
BROADWAY+N+NY|3576
10305+SEAVIEW+STATEN|8853
11901+1300+RIVERHEAD|2384
AVE+ISLAND+NY|12850
11791+221+TURNPIKE|2022
COMMUNITY+MANHASSET+NY|18364
DR+GREAT+NY|2627
11375+66TH+FOREST|4446
10201+11375+NY|2258
10201+11375+RD|2258
11042+MARCUS+NORTH|3293
27005+AVE+NEW|9057
11021+BLVD+NY|3675
11004+GLEN+OAKS|2826
10591+701+NY|2401
701+HOLLOW+N|2346
26901+NY+PARK|3833
11580+FRANKLIN+STREAM|4345
COVE+GLEN+LN|3731
HYDE+NEW+NY|28759
701+BROADWAY+HOLLOW|2334
05+270+76TH|4883
COVE+GLEN+NY|5495
HYDE+NEW+RD|3684
COVE+GLEN+ST|2291
10591+BROADWAY+N|3044
301+E+SHORE|5438
BROADWAY+HOLLOW+SLEEPY|2891
11042+HYDE+NORTH|5399
11042+NORTH+NY|5399
COMMUNITY+GREAT+NY|2586
11803+COUNTRY+PLAINVIEW|4836
900+AVE+FRANKLIN|4275
77TH+NY+YORK|11220
475+ISLAND+STATEN|8006
BROOKLYN+NY+ST|2360
AVE+HYDE+NY|21902
11021+GREAT+NORTHERN|3671
11791+221+NY|3612
101+11542+GLEN|3720
76TH+NEW+NY|18023
26901+NEW+PARK|3833
270+AVE+PARK|9853
10591+HOLLOW+SLEEPY|3000
AVE+BROOKLYN+NY|4225
11042+HYDE+PARK|9532
11791+SYOSSET+TURNPIKE|2113
270+HYDE+NEW|4961
11580+AVE+VALLEY|4444
11021+NECK+NORTHERN|3671
270+76TH+NEW|4896
05+11040+76TH|4819
11803+888+COUNTRY|3968
E+KISCO+MAIN|2537
05+AVE+PARK|4902
400+KISCO+MAIN|2574
11706+301+E|6630
AVE+NY+STATEN|12692
11743+AVE+PARK|5678
100+NEW+YORK|10235
AVE+RIVERHEAD+ROANOKE|2548
77TH+NEW+NY|11224
E+NEW+NY|19958
10087+NEW+POBOX|4247
200+COMMUNITY+DR|2446
10087+NY+POBOX|4247
77TH+NEW+ST|11213
E+NEW+ST|19584
NY+PARK+STE|2677
HYDE+NY+PARK|28751
COUNTRY+NY+PLAINVIEW|4836
200+COMMUNITY+NY|2445
05+HYDE+NEW|4930
10087+NEW+YORK|4247
05+76TH+NEW|4877
E+NY+ST|30566
10591+NY+SLEEPY|3003
NECK+NORTHERN+NY|3721
11743+NY+PARK|5680
11542+LN+NY|3723
NY+RIVERHEAD+ROANOKE|2571
11030+DR+MANHASSET|16787
11021+GREAT+NY|4947
11542+LN+ST|2068
10065+ST+YORK|2734
11042+NEW+NORTH|5399
11580+NY+VALLEY|4572
10021+NEW+NY|3088
10021+NEW+ST|2524
100+E+NEW|10211
10305+ISLAND+NY|10608
10305+ISLAND+STATEN|10609
11542+GLEN+LN|3723
11542+GLEN+NY|4698
11542+GLEN+ST|2282
101+LN+NY|3720
5051+POBOX+YORK|4519
101+LN+ST|2075
10016+NY+YORK|2597
MARCUS+NY+PARK|4865
10549+400+MAIN|2571
10305+AVE+SEAVIEW|8846
27005+76TH+NY|9056
10065+E+NEW|2735
10087+5051+YORK|4205
GREAT+NECK+NY|7296
11803+PLAINVIEW+RD|5017
11004+263RD+NY|2464
LAKEVILLE+NEW+PARK|3339
11004+263RD+ST|2458
11743+270+HUNTINGTON|5506
NY+OAKS+ST|2501
11040+26901+PARK|3833
300+COMMUNITY+DR|14001
10075+77TH+YORK|10689
COMMUNITY+DR+MANHASSET|18359
AVE+NEW+YORK|7952
300+COMMUNITY+NY|14005
BAY+NY+ST|6888
301+MAIN+NY|6661
301+MAIN+ST|6659
NEW+NY+YORK|41548
300+DR+NY|14044
10075+ST+YORK|11275
10087+NY+YORK|4247
GLEN+NY+ST|4754
COUNTRY+OLD+RD|5247
AVE+STREAM+VALLEY|4467
NY+RD+STE|4076
11040+27005+76TH|9055
NY+PLAINVIEW+RD|5021
26901+HYDE+NY|3834
11803+888+OLD|3970
270+76TH+HYDE|4890
10087+5051+POBOX|4205
LAKEVILLE+NY+PARK|3342
HYDE+NORTH+NY|5405
301+NY+SHORE|5444
27005+AVE+HYDE|9057
101+11542+COVE|3720
10305+475+AVE|7962
MAIN+NY+ST|12841
HYDE+PARK+RD|3682
N+NY+SLEEPY|2906
11706+301+SHORE|5431
100+NY+ST|10287
263RD+NY+ST|2481
10201+66TH+FOREST|2257
77TH+E+NY|11206
77TH+E+ST|11198
AVE+MARCUS+NORTH|3293
CITY+GARDEN+NY|2728
11030+COMMUNITY+MANHASSET|16768
HYDE+NEW+NORTH|5405
GREAT+NY+STE|2611
11021+NORTHERN+NY|3673
FLOOR+NEW+NY|2397
AVE+NEW+PARK|23032
E+SHORE+ST|6366
475+ISLAND+SEAVIEW|7999
11030+300+DR|13996
FLOOR+NY+YORK|2125
11580+STREAM+VALLEY|4572
NEW+NY+PARK|30067
11042+AVE+NEW|4806
11021+GREAT+NECK|4947
11030+300+NY|14039
10065+NY+ST|2735
NY+SYOSSET+TURNPIKE|2114
900+AVE+VALLEY|4275
11021+BLVD+GREAT|3673
11580+FRANKLIN+NY|4346
701+HOLLOW+NY|2347
10075+NEW+NY|11513
10305+NY+STATEN|10608
10075+NEW+ST|11276
11040+NY+PARK|18140
270+76TH+AVE|4879
100+NEW+NY|10260
10075+77TH+NEW|10690
100+NEW+ST|10207
11042+NEW+NY|9536
11042+NEW+RD|3137
5051+NY+POBOX|4519
76TH+AVE+PARK|17180
11706+MAIN+SHORE|6376
NY+OLD+PLAINVIEW|4837
5051+NEW+YORK|4519
HOLLOW+N+NY|2966
LAKEVILLE+PARK+RD|3338
AVE+FRANKLIN+STREAM|4347
76TH+HYDE+NEW|17211
05+76TH+AVE|4858
DR+NY+PARK|2308
10075+77TH+NY|10696
HYDE+MARCUS+NEW|4864
221+JERICHO+NY|3611
10075+77TH+ST|10690
11530+CITY+NY|2149
11040+270+76TH|4837
270+AVE+HUNTINGTON|5511
11042+NORTH+PARK|5399
BLVD+NY+STE|2928
KISCO+MAIN+MOUNT|2451
NEW+PARK+RD|3679
FOREST+HILLS+NY|6650
FOREST+HILLS+RD|4620
11791+JERICHO+TURNPIKE|2109
1300+NY+ROANOKE|2386
475+SEAVIEW+STATEN|7999
FRANKLIN+NY+STREAM|4350
05+76TH+PARK|4872
AVE+HYDE+NORTH|3293
11042+LAKEVILLE+PARK|2865
11580+900+VALLEY|4274
301+NY+ST|6833
11040+76TH+NEW|17141
BROADWAY+N+SLEEPY|2894
200+GREAT+NECK|2046
701+BROADWAY+SLEEPY|2292
11375+FOREST+NY|5799
11743+AVE+HUNTINGTON|5781
221+NY+SYOSSET|3613
11375+FOREST+RD|4614
11706+E+SHORE|6361
11706+BAY+MAIN|6376
11040+26901+NY|3834
11542+ANDREWS+GLEN|2512
100+10075+77TH|9495
11040+HYDE+NY|18128
900+AVE+NY|4358
NEW+NORTH+NY|5405
NY+STREAM+VALLEY|5405
27005+HYDE+PARK|9057
11040+AVE+PARK|17369
05+270+PARK|4926
11375+HILLS+NY|5799
300+MANHASSET+NY|14040
270+NEW+PARK|4964
11375+HILLS+RD|4614
26901+AVE+HYDE|3833
11743+270+PARK|5505
11004+OAKS+ST|2481
101+COVE+LN|3715
101+COVE+NY|3727
66TH+HILLS+NY|4451
270+HUNTINGTON+PARK|5510
101+COVE+ST|2082
100+10075+NEW|9789
888+NY+OLD|3971
66TH+HILLS+RD|4444
ISLAND+NY+STATEN|15395
900+NY+STREAM|4279
101+COVE+GLEN|3727
11040+HYDE+NEW|18128
AVE+NEW+NY|29425
100+10075+NY|9794
100+10075+ST|9786
NY+ST+STE|3848
10549+E+MAIN|2533
11021+BLVD+NECK|3673
HOLLOW+N+SLEEPY|2903
76TH+AVE+NEW|17187
05+NEW+PARK|4930
05+NY+PARK|4940
400+E+MAIN|2482
11706+NY+ST|7673
10021+NY+YORK|3089
COVE+NY+ST|2290
270+NY+PARK|9889
NEW+PARK+STE|2127
BLVD+NORTHERN+NY|4850
AVE+NY+STREAM|4468
101+11542+LN|3709
101+11542+NY|3720
101+11542+ST|2076
NECK+NY+STE|2633
E+MAIN+MOUNT|2289
05+11040+PARK|4870
10021+E+NY|2517
AVE+HYDE+MARCUS|4859
MAIN+SHORE+ST|6384
10021+E+ST|2504
400+MAIN+MOUNT|2325
BROADWAY+HOLLOW+NY|2952
HYDE+MARCUS+PARK|4864
26901+76TH+PARK|3833
ANDREWS+COVE+LN|2515
900+FRANKLIN+VALLEY|4273
ANDREWS+COVE+NY|2520
11021+GREAT+STE|2059
475+ISLAND+NY|8006
BLVD+NECK+NY|3731
HYDE+LAKEVILLE+PARK|3339
11042+AVE+PARK|4806
11004+NY+OAKS|2828
10305+475+STATEN|7969
101+ANDREWS+LN|2515
101+ANDREWS+NY|2519
11901+NY+ROANOKE|2572
400+E+MOUNT|2240
BLVD+GREAT+NECK|3712
701+NY+SLEEPY|2305
11803+NY+RD|5020
11042+HYDE+NEW|9536
11020+200+DR|2297
11004+GLEN+NY|2828
10087+5051+NEW|4205
11004+GLEN+ST|2480
BAY+E+MAIN|6366
11020+200+NY|2301
11040+76TH+PARK|17138
11542+ANDREWS+COVE|2512
10075+77TH+E|10692
11040+AVE+NY|17393
11706+MAIN+NY|7667
KISCO+MOUNT+NY|3501
11706+MAIN+ST|7665
270+AVE+NY|9917
KISCO+MOUNT+ST|2451
10591+BROADWAY+HOLLOW|2947
100+77TH+E|9899
11040+76TH+AVE|17116
11706+NY+SHORE|6875
11375+FOREST+HILLS|5799
101+11542+ANDREWS|2512
11706+E+NY|7652
301+BAY+NY|5441
BAY+E+NY|6413
05+HYDE+NY|4930
11706+E+ST|7647
301+BAY+ST|5438
BAY+E+ST|6367
NY+W+YORK|2967
NEW+NY+W|2979
100+ST+YORK|10205
11040+27005+PARK|9056
27005+76TH+HYDE|9056
COMMUNITY+DR+NECK|2586
10591+701+N|2400
200+DR+NY|2486
270+HYDE+NY|4961
AVE+NORTH+PARK|3360
KISCO+MAIN+NY|2743
11901+1300+AVE|2361
KISCO+MAIN+ST|2743
11706+301+BAY|5431
701+BROADWAY+N|2389
BLVD+NORTHERN+STE|2211
FOREST+NY+RD|4660
HYDE+LAKEVILLE+NY|3344
10065+NEW+NY|3577
HYDE+LAKEVILLE+RD|3340
300+DR+MANHASSET|13996
10065+NEW+ST|2734
701+N+SLEEPY|2304
400+MOUNT+NY|2326
COMMUNITY+GREAT+NECK|2586
400+MOUNT+ST|2325
11706+301+MAIN|6632
AVE+NEW+STE|2063
100+10075+YORK|9788
E+MOUNT+NY|2297
11021+NECK+STE|2059
NEW+NY+RD|3764
AVE+MARCUS+NY|5845
MOUNT+NY+ST|2482
E+MOUNT+ST|2290
NEW+NY+ST|22995
E+ST+YORK|19582
77TH+E+YORK|11197
76TH+NEW+PARK|17210
10075+E+NEW|11279
1300+AVE+NY|2531
11580+FRANKLIN+VALLEY|4343
DR+MANHASSET+NY|18383
888+COUNTRY+NY|3969
11706+BAY+NY|6875
11040+270+NY|4902
888+COUNTRY+RD|3969
11706+BAY+ST|6380
BLVD+NECK+NORTHERN|3712
11040+27005+NY|9056
NORTHERN+NY+STE|2219
10021+E+YORK|2517
11021+NECK+NY|4950
300+COMMUNITY+MANHASSET|13982
11030+300+COMMUNITY|13981
BAY+NY+SHORE|7930
COMMUNITY+NECK+NY|2586
11901+1300+ROANOKE|2386
1300+NY+RIVERHEAD|2384
10201+11375+HILLS|2257
475+NY+STATEN|8005
11040+NEW+PARK|18119
NY+ST+W|3330
10305+AVE+STATEN|10067
270+AVE+HYDE|4930
10016+NEW+YORK|2596
400+NY+ST|2702
100+77TH+NY|9902
221+JERICHO+SYOSSET|3611
10075+NY+ST|11281
100+77TH+ST|9895
