# Value|Alternate Value
AND|&
PROPRIETARY|PTE
PROPRIETARY|PTY
PRIVATE|PVT
RADIATION|RAD
REHABILITATION|RHB
RICERCA|RIC
RUGS|RUG
SCHOOL|SCH
6|SIX
SALES|SLS
STANDARD|STD
STORAGE|STG
STATION|STN
SERVICE|SVC
SERVICES|SVC
SYSTEMS|SYS
10|TEN
2|TWO
WL|WIL
WISCONSIN|WIS
WEST VIRGINIA|WVA
WYOMING|WYO
MUSIKVEREIN|MUSIKKAPELLE
BEKLEIDUNG|BEKLEIDUNGSHAUS
THREAD|THREADS
TECHNOLOGY|TECHNOLO
ANIMALHOSPITAL|VETHOSP
ALIMENTOS|ALIMENT
GIRL|GIRLS
VERSICHERUNGEN|VERSICHERUNGSSERVICE
SERVICES|SRVCS
INDUSTRIELLE|INDUSTRIELL
INDUSTRIELLE|INDUSTRIELS
MUSIKVEREIN|MUSIKHAUS
ADJUST|ADJUSTERS
ADJUST|ADJUSTING
TAX|TAXES
MANAGEMENT|MANAGEMEN
STR|STRASSE
SUBSTANCE|SUBST
SUPPLIES|SUPPL
GARTENBAU|GARTENBAUVEREIN
OPTOMETRY|OPTOMETRIST
INVESTOR|INVESTORS
ABSOLUTE|ABSOLUTELY
DATENTECHNIK|DATENSYSTEME
BERATUNG|BERATUNGSSTELLE
EQUIPMENT|EQUIPAMENTOS
CLEANERS|CLEANING
RESTAURANT|RESTURANT
STEUERBERATER|STEUERBERATUNG
IMMOBILIEN|IMMOBILIENGESELLSCHAFT
DATENTECHNIK|DATENSERVICE
SYSTEMS|SYSTE
COLLECTION|COLLECTIONS
INSTITUTE|INSTITUT
FINANCIAL|FINANCIALS
TELECOMMUNICATION|TELECOMMUNICATIONS
GRUNDSTCKS|GRUNDSTCKSGES
GRP|GROUP
GRUNDSTCKS|GRUNDSTCKSVER
WORKERS|WORKFORCE
DEVELOPMENT|DEVELOPMENTS
GRUNDSTCKS|GRUNDSTCKSGEMEINSCHAFT
ALTERNATIVE|ALTERNATIVES
IMMOBILIEN|IMMOBILIERE
IMMOBILIEN|IMMOBILIERS
3|THREE
INSTITUTE|INSTITUTIONAL
IMMOBILIEN|IMMOBILIENSERVICE
MANAGEMENT|MANAGMENT
COMMODITY|COMMODITIES
INTEREST|INTERESTS
ALIMENTOS|ALIMENTACION
EQUIPMENT|EQUIPEMENT
CHEMICAL|CHEMICALS
TRANSPORTATION|TRANSPORT
GRUNDSTCKS|GRUNDSTCKSGESELLSCHAFT
EXECUTIVES|EXECUTIVE
ELEKT|ELEKTRONIK
PROJECT|PROJECTS
BROADCASTING|BROADCAST
TRADITIONAL|TRADITIONS
GRUNDSTCKS|GRUNDSTCK
BERATUNG|BERATUNGSGES
COMPANY|COMAPNY
APARTMENT|APARTMENTS
MALERBETRIEB|MALERFIRMA
ACCOUNT|ACCOUNTS
CELLAR|CELLARS
TRADERS|TRADE
REPORT|REPORTERS
REPORT|REPORTING
IMMOBILIEN|IMMOBILIENMAKLER
METALLBAU|METALLHANDEL
EQUITY|EQUITIES
FRISEUR|FRISEURGENOSSENSCHAFT
WOODWORK|WOODWORKING
BAUUNTERNEHMEN|BAUUNTERNEHMUNG
WERBEAGENTUR|WERBEBERATUNG
CONSTRUCTION|CONSTUCTION
SURVEY|SURVEYS
PROFESSIONAL|PROFESSIONALS
INSTITUTE|INSTYTUT
ACOUSTIC|ACOUSTICS
INSTITUTE|INSTITU
MUNICIPAL|MUNICIPALE
MUNICIPAL|MUNICIPAUX
SCREENING|SCREENS
ASSISTANCE|ASSISTANT
TWIN|TWINS
WERBEAGENTUR|WERBEARTIKEL
MUSIKVEREIN|MUSIKSCHULE
INGENIEUR|INGENIEURIN
GARTENBAU|GARTENBAUBETRIEB
ARCHITECT|ARCHITECTS
EXPERT|EXPERTS
ARCHITECT|ARCHITEC
COACH|COACHES
UNIVERSITY|UNIVERSIDAD
UNIVERSITY|UNIVERSITAT
UNIVERSITY|UNIVERSITET
GRUNDSTCKS|GRUNDSTCKSENTWICKLUNGS
VERMITTLUNG|VERMITTLUNGEN
BERATUNG|BERATUNGSGESELLSCHAFT
APARTMENT|APARMENT
MASCHINENBAU|MASCHINENFABRIK
ALIMENTOS|ALIMENTATION
EXTERIORS|EXTERIOR
INNOVATIVE|INOVATIVE
CONTRACTING|CONTRACTO
REISEBRO|REISESERVICE
GOVT|GOVERNMENT
MACHINERY|MACHINES
CO|COMPANY
INSIGHT|INSIGHTS
FED|FEDERAL
IDEA|IDEAS
INGN|INGEGNERIA
FIXTURE|FIXTURES
FAC|FACULTY
SYST|SYSTEM
SYSTEMS|SYSTEM
SOFTWARE|SOFTWAREBERATUNG
AUTOMOBILE|AUTOMOBILER
AUTOMOBILE|AUTOMOBILES
UNIVERSITY|UNIVE
UNLIMITED|UNLTD
REGION|REGIONAL
ELEKTRO|ELEKTROINSTALLATIONEN
RADIATION|RADIAT
EXPORT|EXPORTS
ECON|ECONOMY
HOSP|HOSPITAL
RECREATION|RECREATIONAL
INSTALLATIONS|INSTALLERS
SOFTWARE|SOFTWARES
ARTISAN|ARTISANS
MASCHINENBAU|MASCHINENHANDEL
MALERBETRIEB|MALEREI
HOSPITAL|HOSPICE
BROKERS|BROKERAGE
TECH|TECHISCHE
SUPPLIES|SUPPLIERS
SEMICOND|SEMICONDUCTOR
RAIL|RAILRD
RAILROAD|RAILRD
IMMOBILIEN|IMMOB
FRISEUR|FRISEURSTUDIO
INDUSTRY|INDUS
INSTITUTE|INSTI
INTERNATIONAL|INTER
TRUCKING|TRUCKIN
FLOORS|FLOORCOVERING
SNACK|SNACKS
BUSINESS|BUISNESS
CORPORATION|CORPORACION
REALTY|REALESTATE
STAHL|STAHLBAU
CONSTRUCTION|CONSTRUC
BAUTRGER|BAUTRGERGESELLSCHAFT
GARDEN|GARDENS
COATINGS|COATING
CONSULTING|CONSULTA
CONSULTING|CONSULTI
EMPLOYEURS|EMPLOIS
FOOTHILL|FOOTHILLS
CHANGE|CHANGES
HANDEL|HANDELSGESELLSCHAFT
BEKLEIDUNG|BEKLEIDUNGS
FYS|FYSICA
TEXTILES|TEXTILIEN
INGENIEUR|INGENIEURGES
GALLERY|GALLERIES
LOCKSMITH|LOCKSMITHS
INFECT|INFECTIOUS
ZENT|ZENTRAL
DIENSTLEISTUNGEN|DIENSTLEISTUNGS
PICTURES|PICTURE
VIDEOS|VIDEO
FABRICATIONS|FABRICATING
FABRICATIONS|FABRICATION
FABRICATIONS|FABRICATORS
EDUCATION|EDUCATIONAL
UNIVERSITY|UNIVER
CABIN|CABINS
CHILDRENS|CHILDREN
PSYCHIAT|PSYCHIATRY
HIST|HISTORY
FASTENER|FASTENERS
VERSICHERUNGEN|VERSICHERUNGSVERTRETUNG
ACCOUNTING|ACCOUNTANCY
ACCOUNTING|ACCOUNTANTS
BEHAV|BEHAVIOR
INGENIEUR|INGENIEURGEMEINSCHAFT
IND|INDUSTRY
BERATUNG|BERATUNGS
PHYSICIANS|PHYSICIAN
SISTER|SISTERS
DENTIST|DENTISTRY
VERSICHERUNGEN|VERSICHERUNGSVERMITTLUNG
UNIVERSITY|UNIVERS
PROCESS|PROCESSING
EMPLOYEURS|EMPLOI
BEHAV|BEHAVIORAL
DECOR|DECORATING
DECOR|DECORATIVE
DECOR|DECORATORS
NO|NORTHERN
ASSOCIATES|ASSOCIACAO
ASSOCIATES|ASSOCIATED
ASSOCIATES|ASSOCIATIO
CONSULTING|CONSULT
RECH|RECHERCHE
MISSION|MISSIONS
BAGEL|BAGELS
INCORPORATION|INCORP
CONGREGATION|CONGREGATIONAL
CONTRACTING|CONTRAC
WERBEAGENTUR|WERBEGESTALTUNG
GAME|GAMING
PROF|PROFESSIONNELLE
INGENIEUR|INGENIEURGESELLSCHAFT
TRICIA|PATRICIA
FARM|FARMACIA
CONSTRUCTION|CONSTRUCTIONS
REMODEL|REMODELERS
REMODEL|REMODELING
FRISEUR|FRISEURE
MINISTRY|MINISTRIES
CONSTRUCTION|CONSTRUCTI
BETEILIGUNGS|BETEILIGUNGSGESELLSCHAFT
BAKERY|BAKERS
DISTRIBUTION|DISTRIBUTOR
ENTERPRISES|INTERPRISE
WELF|WELFARE
ENVIRONMENT|ENVIRONMENTAL
DATENTECHNIK|DATENVERARBEITUNGS
ACCOUNT|ACCT
AGENCY|AGCY
AGENCY|AGEN
APARTMENT|APTS
ARCHIVES|ARCH
ARIZONA|ARIZ
ASSOCIATES|ASSC
ASSOCIATES|ASSN
ASSOCIATES|ASSO
AUGENHEILKUNDE|AUGE
AUTHORITY|AUTH
AUTOMOTIVE|AUTO
TOUR|TOURISM
METALLBAU|METALLBEARBEITUNG
CONTRACTING|CONTRACT
CONTROL|CONTROLS
CANC|CANCER
BICYCLE|BIKE
BUILDING|BLDG
BOULEVARD|BLVD
BROTHERS|BROS
DOCTOR|DOCTORS
HANDEL|HANDELSBANKEN
TEXTILES|TEXTILAGENTUR
MUNICIPAL|MUNICIP
CHEMISTRY|CHEM
CLINIC|CLIN
CLINICAL|CLIN
COMMUNITY|CMTY
COUNTY|CNTY
COLLEGE|COLL
COLORADO|COLO
COMMERCE|COMM
COMMINUCATION|COMM
COMPUTER|COMP
CONNECTICUT|CONN
CORPORATION|CORP
CPA|CPAS
COMPOUNDS|CPDS
CARPENTRY|CRPT
DYNAMIC|DYNAMICS
EQUIPMENT|EQUIPTMENT
DIENSTLEISTUNGEN|DIENSTLEISTER
DEPARTMENT|DEPT
DESIGN|DESI
DEVELOPMENT|DEVT
DIAGNOSTIC|DIAG
DISTRICT|DIST
STUDIO|STUDIOS
DOG|DOGS
DRILLING|DRLG
DRUGS|DRUG
SOFTWARE|SOFTWAREENTWICKLUNG
HANDEL|HANDELSGES
BLVD|BOULEVARD
WERBEAGENTUR|WERBE
AMUSEMENT|AMUSEMENTS
E|EAST
ECONOMICS|ECON
ECONOMIST|ECON
ELECTRIC|ELEC
ELECTRICAL|ELEC
ELECTRON|ELEC
ELECTRONICS|ELEC
ELEMENTARY|ELEM
ENGINEERING|ENGN
EQUIPMENT|EQPT
EXPERIMENTAL|EXPT
BOOKKEEPING|BOOKKEEPER
RESTAURANT|EATERY
FACILITY|FCLT
FACTORY|FCTY
5|FIVE
FLAGS|FLAG
FOODS|FOOD
FT|FORT
4|FOUR
CENTER|CENTERS
CENT|CENTRAL
HEIZUNG|HEIZUNGSTECHNIK
COOKIE|COOKIES
IMMOBILIEN|IMMOBILIENVERWALTUNG
GARDEN|GDNS
GEOLOGY|GLGY
CO|GMBH
GOD|GODS
GOVERNMENT|GOVT
CABINETS|CABINET
WHEELS|WHEEL
VERSICHERUNGEN|VERSICHERUNG
BASIC|BASICS
HEALTH|HLTH
HORTICULTURE|HORT
HOSPICE|HOSP
HOSPITAL|HOSP
CORPORATION|CORPORATIO
INDUSTRY|INDL
INDUSTRY|INDU
INFORMATION|INFO
INSTITUTE|INST
INTERNATIONAL|INTL
CATERING|CATERERS
EFFECT|EFFECTIVE
ARQUITECTURA|ARQUITECTOS
ANIM|ANIMAL
ALIMENTOS|ALIMENTAIRE
ALIMENTOS|ALIMENTARES
GRIND|GRINDING
WOMENS|WOMANS
KLINIK|KLIN
KONFERENCE|KONF
PREMIERE|PREMIER
CHOICE|CHOICES
NUCL|NUCLEAR
INSTITUTE|INSTIT
INNOVATION|INNOVATIONS
LABORATORIES|LABS
UNIVERSITY|UNIVERSIDADE
STEUERBERATER|STEUERBERATUNGSGESELL
TRANSPORTE|TRANSPORTES
MACHINING|MACH
MASSACHUSETTS|MASS
MECHANICAL|MECH
MANUFACTURERS|MFGS
MANAGEMENT|MGMT
MICHIGAN|MICH
MINNESOTA|MINN
MISSISSIPPI|MISS
MARKETING|MKTG
MANAGEMENT|MNGT
MONTANA|MONT
MARKETING|MRKG
RESOURCES|RESOURC
CARRIER|CARRIERS
JEWELERS|JEWELRY
ENVIRONMENT|ENVIROMENTAL
FURNISHING|FURNISHINGS
NATIONAL|NATL
OBSERVATORY|OBSERV
9|NINE
NUTRITION|NUTR
LABORATORY|LABORATORIES
MANAGEMENT|MANAGEM
OFFICES|OFCS
OKLAHOMA|OKLA
FARMING|FARMERS
ESSENTIAL|ESSENTIALS
VERLAG|VERLAGSGES
PK|PARK
PENNSYLVANIA|PENN
PHILLIPPINES|PHIL
PLANT|PLNT
PROCESS|PROC
PRODUCE|PROD
PROFESSIONALE|PROF
PROFESSIONNEL|PROF
PROTEIN|PROT
PROVINCE|PROV
PROMOTION|PROMOTIONS
AKAD|AKADEMY
DEVELOPMENT|DEVELOPMENTAL
MOL|MOLECULAR
IMMOBILIEN|IMMOBILIER
CLOSET|CLOSETS
RENTALS|RENT
RD|ROAD
CHEM|CHEMICAL
PUBLISHING|PUBLISHERS
SCHOOL|SCHOLL
VERSICHERUNGEN|VERSICHERUNGSVERMITTLUNGS
ENVIRONMENT|ENVIRO
SCHOOL|SCHO
CHENG|SENG
SERVICE|SERV
SUPPLY|SPLY
SERVICES|SRVC
SERVICES|SRVS
STATISTICS|STAT
SURGERY|SURG
SERVICE|SVCS
SERVICES|SVCS
SYSTEMS|SYST
PAEDIATRICS|PAEDIAT
CONSULTING|CONSULTANCY
CONSULTING|CONSULTANTS
MEM|MEMORIAL
TECHNICAL|TECH
TECHNIQUES|TECH
TECHNOLOGY|TECH
TEMPERATURE|TEMP
TEMPORARY|TEMP
TENNESSEE|TENN
IMMOBILIEN|IMMOBILIENMAKLERIN
INFIRM|INFIRMARY
JEWELERS|JEWLERS
AWNING|AWNINGS
TEXTILES|TEXTILHANDELS
UNIVERSITY|UNIV
USERS|USER
SCHOOL|SCHOOLS
INSTITUTE|INSTITUTION
ATTORNEY|ATTORNEYS
OPPORTUNITIES|OPPORTUNITY
AUTOMATIC|AUTOMATED
AUTOMATIC|AUTOMATIC
TRANSMISSIONS|TRANSMISSION
PRODUCTION|PRODUCTIONS
DIV|DIVISION
VENDOR|VNDR
WIZARD|WIZARDS
INSTITUTE|INSTITUUTTI
BOOKKEEPING|BOOKEEPING
HANDEL|HANDELSAGENTUR
WASHINGTON|WASH
W|WEST
BANKER|BANKERS
SOURCE|SOURCES
SOUND|SOUNDS
DIMENSION|DIMENSIONS
PRESENTATION|PRESENTATIONS
HSCH|HOCHSCHULE
COPIER|COPIERS
DOG|DOGGIE
DEVELOPMENT|DEVELOPM
ACAD|ACADEMY
MUSIKVEREIN|MUSIKPRODUKTION
YOURS|YOUR
TECHNOLOGY|TECHNOLOGIE
MUNICIPAL|MUNICIPALES
SCHTZENVEREIN|SCHTZEN
RESTAURANT|RESTAURANTS
NE|NORTHEAST
ALSACE|ALSACIENNE
REHABILITATION|REHABIL
PHARMACOL|PHARMACOLOGIST
AMER|AMERICAN
MOTOR|MOTORS
UNIVERSITY|UNIVERSITAET
UNIVERSITY|UNIVERSITEIT
UNIVERSITY|UNIVERSITIES
MALERBETRIEB|MALERGESCHFT
COMMUN|COMMUNICATION
CONSTRUCTION|CONSTRUCT
AUGENHEILKUNDE|AUGENOPTIKER
HTS|HEIGHTS
BALANCE|BALANCING
MOVE|MOVERS
MOVE|MOVING
COLOR|COLORS
VERTRIEBS|VERTRIEBSGESELLSCHAFT
SPIRIT|SPIRITS
SCI|SCIENCE
ADM|ADMINISTRATION
ADMIN|ADMINISTRATION
ADMIN|ADMINISTRATIVE
ADMIN|ADMINISTRATORS
DISTRIBUTION|DISTRIBUTERS
DISTRIBUTION|DISTRIBUTING
DISTRIBUTION|DISTRIBUTORS
COM|COMITE
COMPANY|COMPAN
DONUT|DONUTS
EXCAVATION|EXCAVATING
ANTHROPOL|ANTHROPOLOGY
HEALTH|HEALTHCARE
HAUSMEISTERSERVICE|HAUSMEISTEREI
CONSTRUCTION|CONSTR
CONSULTING|CONSUL
CONTRACTING|CONTRA
STRATEGY|STRATEGIES
EFFECT|EFFECTS
HOTEL|HOTELS
ENGINEERS|ENGINEER
TROPHY|TROPHIES
NETWORKING|NETWORKS
HOUSING|HOUSES
INTERNATIONAL|INTERNATION
IMMOBILIEN|IMMOBILIENVERMITTLUNG
EXPRESS|XPRESS
TROPIC|TROPICAL
KOMMUNIKATION|KOMMUNIKATIONSDESIGN
PHARMACEUT|PHARMACEUTICALS
PHARMACEUTICAL|PHARMACEUTICALS
BIOL|BIOLOGY
AUTOMOBILE|AUTOMOBIL
CORPORATION|CORPOR
ETUD|?TUDE
MALERBETRIEB|MALERFIRMAET
PKWY|PARKWAY
PUBLICATION|PUBLICATIONS
FRISEUR|FRISEURSALON
PACKAGE|PACKAGING
ORIGINALS|ORIGINAL
WEAP|WEAPONS
DIMENSION|DIMENSIONAL
ACCOUNTING|ACCOUNTANT
ATHLETIC|ATHLETICS
BOT|BOTANY
CTY|COUNTY
HEIZUNG|HEIZUNGSINSTALLATION
BETEILIGUNGS|BETEILIGUNGSGESELL
SAIL|SAILING
PARTNERS|PARTNERSCHAFTSGESELLSCHAFT
CONF|CONFERENCE
COVERINGS|COVERS
AGR|AGRICULTURE
VERSICHERUNGEN|VERSICHERUNGSDIENST
VETADM|VETERANSADMINISTRATION
ABT|ABTEILUNG
PROP|PROPULSION
GENERATION|GENERATIONS
INSTITUTE|INSTITUTO
INSTITUTE|INSTITUUT
DIENSTLEISTUNGEN|DIENSTE
TH|TECHNISCHEHOCHSCHULE
HAUSMEISTERSERVICE|HAUSMEISTERDIENSTE
CONSULTING|CONSULTAN
CONSULTING|CONSULTIN
CIRCUIT|CIRCUITS
CONSUMER|CONSUMERS
DEVELOPMENT|DEVELOPEMENT
STEUERBERATER|STEUERBERATUNGSBRO
STEUERBERATER|STEUERBERATUNGSGES
ARTHRIT|ARTHRITIS
VERMITTLUNG|VERMITTLUNGS
NW|NORTHWEST
HARDWOOD|HARDWOODS
REALTY|REALTORS
ANGEW|ANGEWANDTE
PHOTOGRAPHERS|PHOTOGRAPHER
PHOTOGRAPHICS|PHOTOGRAPHIC
MAINTENANCE|MAINTANCE
OPTIQUE|OPTICA
WHOLESALE|WHOLESALERS
AGRAR|AGRARGESELLSCHAFT
PARTNERS|PARTNER
LANDSCAPE|LSCAPES
CLEANERS|CLEANER
BENEFIT|BENEFITS
MAINTENANCE|MAINT
BUSINESS|BUSSINESS
PLASTIC|PLASTICS
MAINTENANCE|MAINTENCE
PO|POSTOFFICE
MACHINERY|MACHINE
UNIFORM|UNIFORMS
INVESTMENTS|INVESTMENT
TECHNOLOGY|TECHNO
MET|METAL
FINISHES|FINISHING
COMMUNITY|COMMUNITIES
ARCH|ARCHIVE
SURVEYORS|SURVEYING
BIBLIOG|BIBLIOGRAPHY
LIB|LIBRARY
LIBRARIES|LIBRARY
ASSOCIATES|ASSOCIAZIONE
PRINTER|PRINTING
DEF|DEFENCE
DEFENSE|DEFENCE
ORTHOPAEDIC|ORTHOPEDICS
THERESIA|THERESIA
HGSK|HOGESKOLE
BROS|BROTHERS
CONSTRUCTION|CONSTRUCTIO
TRANSACT|TRANSACTIONS
MINIST|MINISTRY
PROF|PROFESSOR
PSYCHOL|PSYCHOLOGIST
ACCOUNTING|ACCTG
FLOORS|FLOORING
CELEBRATION|CELEBRATIONS
INTERNATIONAL|INTERNATIONA
REISEBRO|REISEN
ASSOCIATES|ASSOCIAT
ASSOCIES|ASSOCIEE
ORGANICS|ORGANIC
CEILING|CEILINGS
TELECOMMUNICATION|TELCOM
TRADERS|TRADES
BIOCHEM|BIOCHEMISTRY
SO|SOUTHERN
MIL|MILITARY
QUILT|QUILTING
TRANSLATION|TRANSLATIONS
TEXTILES|TEXTILHAUS
MED|MEDECINE
CREATIONS|CREATION
HLTH|HEALTH
CLASSIC|CLASSICS
SQ|SQUARE
MT|MOUNT
COVERING|COVERINGS
AGENCY|AGENC
DIS|DISEASE
HYDRAULIC|HYDRAULICS
MKT|MARKETING
MALAD|MALADIES
PARTNERS|PARTNERSCHAFT
QUIM|QUIMICA
RENTALS|RENTAL
MANAGEMENT|MANAGEME
MANAGER|MANAGERS
ACCENT|ACCENTS
ANTIQUE|ANTIQUES
FORSCH|FORSCHUNG
LANDSCAPE|LSCAPING
TELECOMMUNICATION|TELECOM
ARCHITECT|ARCHITECTURE
AUTOMOBILE|AUTOMOBILHANDEL
MED|MEDIZIN
REPAIRS|REPAIR
REPRODUCTION|REPROD
PHARMACOL|PHARMACOLOGY
BALANCE|BALANCED
ACCID|ACCIDENT
FRISEUR|FRISEURGESCHFT
SERVICES|SERVIC
DIENSTLEISTUNGEN|DIENSTLEISTUNGSGES
NATIONAL|NATNL
TECH|TECHNICAL
MUSIKVEREIN|MUSIK
RESP|RESPIRATORY
ENTERPRISES|ENTRPRS
NURSES|NURSING
WHOLESALE|WHOSALE
RESORTS|RESORT
VERSICHERUNGEN|VERSICHERUNGSAGENTUR
APPL|APPLIED
CORPORATION|CORPORA
COLLECTIBLES|COLLECTABLES
DIENSTLEISTUNGEN|DIENSTLEISTUNGSGESELLSCHAFT
KEM|KEMIAI
DESIGN|DESIGNS
EMPLOYEE|EMPLOYEES
EMPLOYER|EMPLOYERS
EMPLOYEURS|EMPLOYEUR
OUTDOORS|OUTDOOR
TEXT|TEXTILE
TEXTILES|TEXTILE
REISEBRO|REISEGEWERBE
GRUNDSTCKS|GRUNDSTCKSVERWALTUNGS
SPECIALIST|SPECIALISTS
SEW|SEWING
TEXTILES|TEXTIL
CONNECTIONS|CONNECTION
PETROLEUM|PETROL
PRIVATE|PRIVAT
TECHNOLOGY|TECHNOLOGIES
CAREER|CAREERS
AGRAR|AGRARHANDEL
CONSTRUCTION|CONSTRUTION
TECHNOLOGY|TECHNOLOG
CABINETS|CABINETRY
AGENCY|AGENCIES
ASSOCIATES|ASSOC
VERSICHERUNGEN|VERSICHERUNGSBRO
COMPUTER|COMPUTERS
METALLBAU|METALL
ANALYSIS|ANALYTICAL
EQUIPMENT|EQUIPE
PHYSIOL|PHYSIOLOGIST
SCHTZENVEREIN|SCHTZENGESELLSCHAFT
AIDS|ACQUIREDIMMUNEDEFICIENCYSYNDROME
MOL|MOLECULE
ELEKTRO|ELEKTROANLAGENBAU
BILLIARD|BILLIARDS
ASSOC|ASSOCIATION
ASSOCIATES|ASSOCIATION
DENT|DENTAL
DENTIST|DENTAL
TEACHER|TEACHERS
ORG|ORGANIZATION
BROADCAST|BDCST
TRADERS|TRADING
OFF|OFFICE
OFFICES|OFFICE
SANAT|SANATORIUM
BUILDER|BUILDERS
BLDG|BUILDING
OPTOMETRY|OPTOMETRIC
FINANCIAL|FINACIAL
CONSTRUCTION|CONSTRUCTORS
CTR|CENTER
LECT|LECTURE
SERVICE|SERVICES
PROF|PROFESSIONNELS
OPTICIANS|OPTICAL
OPTIK|OPTIKER
OPTION|OPTIONS
N|NORTH
MFG|MANUFACTURING
DETAIL|DETAILS
APPLIANCE|APPLIANCES
CERAMIC|CERAMICS
EXPT|EXPERIMENT
GRAD|GRADUATE
SPECIALTY|SPECIALTIES
COMMUNICATIONS|COMUNICATIONS
AUTOMOBILE|AUTOMOBILCLUB
BEVERAGE|BEVERAGES
CARPET|CARPETS
DATENTECHNIK|DATENVERARBEITUNG
MORTGAGE|MORGAGE
IMMOBILIEN|IMMOBIL
OPTIQUE|OPTICIENS
ASSOCIATES|ASOCIADOS
RESOURCES|RESOURCE
KOMMUNIKATION|KOMMUNIKATIONSTECHNIK
ANTHROPOL|ANTHROPOLOGIST
OBSTET|OBSTETRICS
COMM|COMMITTEE
DEVELOPMENT|DEVELO
INTRO|INTRODUCTION
PLUMBERS|PLUMING
DEV|DEVELOPMENT
BUILDER|BLDRS
AQUATIC|AQUATICS
CORPORATION|CORPORATE
CORPORATION|CORPORATI
COSMETICS|COSMETIC
BOAT|BOATS
LANDSCAPE|LSCAPE
SE|SOUTHEAST
ANSWER|ANSWERING
WRECKING|WRECKER
FINANCIAL|FINANCIA
NATL|NATIONAL
HEIZUNG|HEIZUNGSSERVICE
DESIGN|DESIGNERS
DESIGN|DESIGNING
SOLUTIONS|SOLUTIO
PHARMACEUT|PHARMACEUTICAL
HEIZUNG|HEIZUNGSBAU
MAINTENANCE|MAINTENA
ORTHOPAEDIC|ORTHOPEDIC
STEUERBERATER|STEUERBERATUNGSGESELLSCHAFT
ANDALUZA|ANDALUCIA
CALIFORNIA|CALIF
CARD|CARDS
VERLAG|VERLAGSGESELLSCHAFT
WALLCOVERING|WALLPAPERING
HEIZUNG|HEIZUNGSANLAGEN
PROD|PRODUCTS
PRODUCT|PRODUCTS
MASCHINENBAU|MASCHINEN
MALERBETRIEB|MALERFACHBETRIEB
MASONRY|MASONARY
MORTGAGE|MORTAGE
PROFESSIONAL|PROFFESIONAL
ENHANCE|ENHANCEMENT
GALLERY|GALLERIA
DIAG|DIAGNOSIS
